<PAD>,0
<UNK>,1
 ,2
"
",3
",",4
e,5
1,6
i,7
0,8
.,9
a,10
o,11
n,12
t,13
的,14
2,15
s,16
r,17
l,18
),19
。,20
(,21
m,22
3,23
、,24
5,25
4,26
d,27
c,28
糖,29
-,30
C,31
A,32
P,33
病,34
h,35
T,36
g,37
血,38
6,39
p,40
L,41
u,42
D,43
7,44
8,45
G,46
素,47
9,48
性,49
组,50
尿,51
S,52
R,53
H,54
M,55
分,56
和,57
/,58
b,59
I,60
者,61
y,62
±,63
用,64
f,65
发,66
;,67
细,68
高,69
胞,70
中,71
:,72
患,73
在,74
[,75
],76
与,77
为,78
胰,79
有,80
N,81
体,82
对,83
F,84
B,85
因,86
能,87
生,88
岛,89
研,90
究,91
可,92
表,93
一,94
关,95
及,96
%,97
脂,98
重,99
于,100
化,101
平,102
型,103
相,104
量,105
O,106
后,107
是,108
显,109
w,110
水,111
白,112
v,113
不,114
低,115
年,116
E,117
常,118
疗,119
合,120
治,121
制,122
<,123
增,124
进,125
以,126
基,127
内,128
度,129
其,130
甲,131
物,132
降,133
蛋,134
学,135
作,136
现,137
明,138
大,139
应,140
结,141
期,142
等,143
状,144
正,145
时,146
激,147
达,148
测,149
并,150
比,151
数,152
过,153
加,154
人,155
代,156
而,157
酸,158
上,159
成,160
肾,161
功,162
症,163
异,164
管,165
下,166
要,167
心,168
多,169
较,170
同,171
β,172
变,173
标,174
K,175
动,176
指,177
示,178
药,179
抗,180
~,181
腺,182
均,183
剂,184
U,185
率,186
本,187
前,188
骨,189
调,190
或,191
间,192
谢,193
例,194
检,195
方,196
行,197
小,198
通,199
k,200
减,201
x,202
定,203
泌,204
无,205
受,206
国,207
临,208
果,209
活,210
计,211
床,212
质,213
导,214
了,215
鼠,216
经,217
子,218
升,219
影,220
别,221
提,222
压,223
析,224
出,225
抑,226
肪,227
统,228
=,229
法,230
诊,231
个,232
清,233
险,234
使,235
系,236
二,237
医,238
响,239
类,240
转,241
差,242
预,243
腹,244
验,245
酶,246
外,247
肥,248
脏,249
断,250
胖,251
少,252
种,253
理,254
醇,255
疾,256
致,257
机,258
此,259
周,260
自,261
龄,262
程,263
目,264
院,265
实,266
空,267
密,268
但,269
脉,270
效,271
列,272
控,273
格,274
长,275
W,276
采,277
全,278
群,279
照,280
反,281
随,282
次,283
肝,284
联,285
改,286
也,287
+,288
炎,289
值,290
胆,291
据,292
V,293
女,294
注,295
风,296
三,297
固,298
起,299
入,300
科,301
征,302
著,303
查,304
到,305
存,306
态,307
意,308
主,309
样,310
所,311
皮,312
免,313
之,314
单,315
促,316
且,317
这,318
最,319
特,320
新,321
位,322
原,323
综,324
点,325
织,326
准,327
节,328
来,329
产,330
双,331
如,332
具,333
由,334
试,335
损,336
抵,337
男,338
干,339
各,340
非,341
证,342
养,343
总,344
食,345
X,346
义,347
围,348
氧,349
肽,350
疫,351
项,352
更,353
会,354
情,355
步,356
维,357
餐,358
早,359
展,360
危,361
部,362
取,363
感,364
葡,365
萄,366
身,367
从,368
引,369
术,370
面,371
参,372
未,373
道,374
至,375
线,376
他,377
除,378
J,379
呈,380
第,381
亡,382
肌,383
复,384
神,385
利,386
见,387
图,388
膜,389
善,390
将,391
染,392
家,393
需,394
娠,395
妊,396
月,397
强,398
超,399
收,400
儿,401
岁,402
解,403
服,404
模,405
件,406
况,407
Z,408
已,409
液,410
选,411
浓,412
立,413
油,414
限,415
缺,416
形,417
象,418
甘,419
切,420
处,421
力,422
Y,423
j,424
共,425
评,426
色,427
足,428
还,429
包,430
孕,431
诱,432
饮,433
着,434
然,435
该,436
每,437
确,438
接,439
死,440
>,441
严,442
推,443
积,444
南,445
观,446
料,447
两,448
≥,449
排,450
脲,451
培,452
认,453
论,454
肿,455
亚,456
张,457
腰,458
报,459
肠,460
区,461
回,462
建,463
日,464
持,465
育,466
磷,467
资,468
础,469
氨,470
保,471
球,472
酮,473
慢,474
α,475
公,476
胍,477
得,478
地,479
含,480
估,481
括,482
汀,483
Q,484
口,485
射,486
近,487
些,488
瘤,489
司,490
信,491
式,492
族,493
微,494
敏,495
刺,496
路,497
良,498
环,499
天,500
被,501
脑,502
号,503
美,504
移,505
轻,506
“,507
离,508
归,509
负,510
酯,511
耐,512
当,513
z,514
整,515
史,516
讨,517
放,518
逐,519
依,520
我,521
吸,522
核,523
即,524
直,525
根,526
缩,527
μ,528
述,529
硬,530
冠,531
×,532
殖,533
运,534
防,535
伤,536
海,537
独,538
则,539
健,540
凋,541
尚,542
失,543
介,544
传,545
续,546
考,547
集,548
伴,549
胎,550
仍,551
康,552
波,553
属,554
察,555
荐,556
附,557
光,558
亢,559
痛,560
仅,561
否,562
钙,563
手,564
们,565
录,566
乳,567
金,568
好,569
护,570
静,571
文,572
探,573
毒,574
粒,575
稳,576
似,577
冶,578
监,579
流,580
释,581
市,582
给,583
布,584
粥,585
议,586
q,587
始,588
摄,589
键,590
级,591
妇,592
克,593
识,594
缓,595
四,596
开,597
名,598
予,599
范,600
游,601
速,602
乏,603
癌,604
钠,605
突,606
适,607
源,608
构,609
视,610
按,611
专,612
短,613
磺,614
℃,615
题,616
元,617
说,618
',619
老,620
垂,621
舒,622
择,623
乱,624
案,625
酰,626
松,627
黄,628
往,629
完,630
紊,631
障,632
访,633
事,634
器,635
植,636
渐,637
西,638
够,639
越,640
赖,641
拉,642
菌,643
再,644
退,645
终,646
碍,647
趋,648
势,649
浆,650
规,651
软,652
向,653
睡,654
都,655
般,656
极,657
衰,658
占,659
青,660
段,661
另,662
混,663
急,664
酒,665
供,666
条,667
电,668
倍,669
遗,670
首,671
算,672
约,673
记,674
颈,675
广,676
局,677
安,678
仪,679
室,680
没,681
鲁,682
延,683
红,684
巴,685
径,686
营,687
片,688
充,689
志,690
挥,691
虑,692
筛,693
造,694
民,695
眼,696
技,697
问,698
阳,699
助,700
害,701
易,702
校,703
噬,704
获,705
京,706
域,707
阿,708
臀,709
消,710
像,711
眠,712
热,713
*,714
晚,715
循,716
夜,717
北,718
网,719
—,720
李,721
忆,722
知,723
就,724
层,725
左,726
阻,727
聚,728
价,729
词,730
很,731
精,732
继,733
曲,734
何,735
带,736
先,737
石,738
教,739
既,740
协,741
胶,742
淋,743
κ,744
尤,745
盐,746
酐,747
囊,748
禁,749
靶,750
去,751
纤,752
盒,753
雌,754
支,755
略,756
疏,757
碘,758
纯,759
只,760
侧,761
工,762
溶,763
官,764
途,765
普,766
华,767
配,768
棕,769
烟,770
那,771
胃,772
γ,773
脱,774
王,775
益,776
”,777
≤,778
折,779
杂,780
交,781
避,782
母,783
肢,784
购,785
尽,786
塞,787
连,788
板,789
初,790
佳,791
换,792
旁,793
任,794
停,795
卫,796
优,797
衡,798
批,799
泄,800
》,801
许,802
亦,803
字,804
沉,805
容,806
员,807
谷,808
巨,809
补,810
《,811
睾,812
滋,813
头,814
纳,815
坏,816
余,817
氮,818
住,819
针,820
它,821
待,822
链,823
斑,824
丙,825
钾,826
修,827
启,828
献,829
逆,830
雷,831
师,832
替,833
境,834
肉,835
品,836
末,837
骼,838
右,839
沙,840
止,841
滴,842
序,843
界,844
快,845
峰,846
恢,847
必,848
告,849
敲,850
块,851
半,852
互,853
滤,854
泛,855
荧,856
童,857
门,858
溃,859
陈,860
竭,861
底,862
阴,863
山,864
际,865
虽,866
置,867
备,868
霉,869
催,870
简,871
书,872
苷,873
乙,874
东,875
厚,876
髓,877
唑,878
胱,879
远,880
尔,881
?,882
疡,883
抽,884
称,885
裂,886
破,887
幅,888
雄,889
映,890
卡,891
索,892
偏,893
世,894
故,895
汁,896
绝,897
刘,898
符,899
累,900
端,901
夫,902
肺,903
设,904
深,905
甚,906
省,907
扩,908
孵,909
卵,910
孔,911
恶,912
几,913
印,914
温,915
⋯,916
羟,917
嗪,918
透,919
斯,920
镜,921
载,922
鉴,923
施,924
语,925
醛,926
齐,927
哺,928
胺,929
汉,930
声,931
居,932
泡,933
梗,934
奈,935
难,936
划,937
编,938
频,939
百,940
荷,941
济,942
隆,943
输,944
命,945
授,946
又,947
若,948
陷,949
毛,950
碱,951
罗,952
弱,953
军,954
扰,955
潜,956
林,957
迹,958
窄,959
股,960
息,961
狭,962
谱,963
望,964
龙,965
典,966
冲,967
瑞,968
杨,969
便,970
尼,971
阶,972
晨,973
亲,974
摘,975
律,976
艾,977
十,978
腔,979
苯,980
社,981
凝,982
辅,983
胚,984
牛,985
闭,986
愈,987
英,988
洗,989
楚,990
瘦,991
马,992
肤,993
紧,994
熟,995
材,996
江,997
富,998
吡,999
却,1000
码,1001
婴,1002
卒,1003
脐,1004
株,1005
某,1006
业,1007
△,1008
饰,1009
顾,1010
宁,1011
决,1012
榈,1013
氢,1014
庆,1015
氏,1016
氯,1017
求,1018
苏,1019
领,1020
晓,1021
喂,1022
五,1023
椎,1024
碳,1025
角,1026
留,1027
瞻,1028
创,1029
春,1030
嘌,1031
今,1032
判,1033
坦,1034
黎,1035
曾,1036
版,1037
胸,1038
六,1039
殊,1040
叶,1041
姜,1042
课,1043
气,1044
洲,1045
伟,1046
做,1047
·,1048
呼,1049
轴,1050
措,1051
慎,1052
队,1053
噻,1054
髋,1055
迅,1056
硫,1057
呤,1058
托,1059
满,1060
玉,1061
阐,1062
旨,1063
野,1064
黏,1065
才,1066
露,1067
哈,1068
拮,1069
音,1070
伐,1071
福,1072
争,1073
委,1074
枢,1075
米,1076
横,1077
坐,1078
须,1079
冬,1080
策,1081
详,1082
州,1083
巢,1084
宽,1085
德,1086
慰,1087
稀,1088
团,1089
斥,1090
束,1091
壁,1092
渗,1093
湿,1094
泵,1095
奖,1096
疼,1097
宫,1098
镁,1099
疆,1100
丝,1101
茶,1102
冰,1103
耳,1104
习,1105
欧,1106
储,1107
迟,1108
遍,1109
旦,1110
夏,1111
丁,1112
裸,1113
暂,1114
午,1115
_,1116
库,1117
畸,1118
烷,1119
描,1120
城,1121
梁,1122
份,1123
猴,1124
丽,1125
么,1126
莫,1127
胡,1128
箱,1129
猕,1130
真,1131
帕,1132
想,1133
麻,1134
’,1135
桥,1136
羊,1137
偿,1138
篇,1139
剧,1140
吾,1141
穿,1142
灌,1143
纠,1144
追,1145
兴,1146
淀,1147
房,1148
璐,1149
距,1150
误,1151
滑,1152
看,1153
暴,1154
宜,1155
匹,1156
递,1157
郁,1158
景,1159
梅,1160
幼,1161
卷,1162
忌,1163
涉,1164
淤,1165
酚,1166
背,1167
丘,1168
假,1169
润,1170
饱,1171
燕,1172
饲,1173
觉,1174
徐,1175
萨,1176
言,1177
兔,1178
贵,1179
孙,1180
农,1181
毫,1182
灶,1183
黑,1184
操,1185
泳,1186
答,1187
散,1188
浸,1189
迁,1190
谨,1191
寿,1192
万,1193
孢,1194
订,1195
耗,1196
旋,1197
众,1198
朱,1199
叉,1200
丹,1201
伦,1202
乎,1203
思,1204
默,1205
拟,1206
滞,1207
娩,1208
盘,1209
疑,1210
贝,1211
威,1212
智,1213
台,1214
残,1215
‘,1216
怀,1217
颗,1218
困,1219
刚,1220
锌,1221
纪,1222
签,1223
漆,1224
盲,1225
烈,1226
丢,1227
盟,1228
触,1229
缬,1230
星,1231
草,1232
隐,1233
赵,1234
芦,1235
愿,1236
佐,1237
念,1238
塑,1239
尹,1240
藜,1241
栓,1242
胀,1243
啶,1244
肱,1245
粉,1246
封,1247
久,1248
揭,1249
章,1250
隔,1251
堆,1252
概,1253
截,1254
¨,1255
村,1256
漏,1257
昔,1258
翻,1259
伸,1260
艳,1261
臂,1262
丰,1263
|,1264
找,1265
走,1266
仁,1267
落,1268
烯,1269
洁,1270
扫,1271
雅,1272
云,1273
听,1274
靠,1275
珠,1276
士,1277
盂,1278
夹,1279
署,1280
芳,1281
焦,1282
振,1283
聋,1284
吴,1285
颅,1286
津,1287
迷,1288
绿,1289
读,1290
灵,1291
费,1292
羧,1293
霞,1294
诺,1295
缘,1296
兰,1297
惯,1298
脊,1299
妥,1300
寻,1301
励,1302
休,1303
欲,1304
诸,1305
净,1306
陆,1307
冷,1308
践,1309
萎,1310
希,1311
馈,1312
胫,1313
秋,1314
喹,1315
赶,1316
川,1317
雪,1318
庭,1319
击,1320
训,1321
齿,1322
武,1323
郭,1324
晶,1325
职,1326
担,1327
莉,1328
永,1329
韩,1330
醉,1331
灰,1332
彩,1333
昼,1334
迫,1335
磁,1336
萍,1337
古,1338
沿,1339
踪,1340
携,1341
郑,1342
融,1343
匀,1344
丧,1345
搏,1346
④,1347
秀,1348
奋,1349
欣,1350
睑,1351
译,1352
恒,1353
坚,1354
警,1355
卧,1356
奥,1357
钳,1358
悬,1359
玲,1360
芬,1361
什,1362
辛,1363
①,1364
踝,1365
权,1366
尾,1367
泻,1368
蓄,1369
杰,1370
酵,1371
滦,1372
膦,1373
罕,1374
鲜,1375
矿,1376
粗,1377
硒,1378
乐,1379
兵,1380
娟,1381
弃,1382
吉,1383
亿,1384
眶,1385
边,1386
把,1387
冻,1388
浙,1389
钟,1390
硝,1391
架,1392
贾,1393
候,1394
炼,1395
膝,1396
装,1397
酪,1398
挑,1399
味,1400
忽,1401
县,1402
弊,1403
剩,1404
杆,1405
副,1406
】,1407
【,1408
丸,1409
凌,1410
胁,1411
父,1412
匿,1413
洛,1414
痫,1415
洪,1416
弹,1417
阈,1418
务,1419
仙,1420
牙,1421
锻,1422
历,1423
髂,1424
戊,1425
颖,1426
跨,1427
盖,1428
耦,1429
曼,1430
勇,1431
询,1432
顺,1433
锝,1434
纸,1435
演,1436
守,1437
侵,1438
紫,1439
肋,1440
帮,1441
木,1442
剔,1443
"""",1444
吐,1445
趾,1446
鼓,1447
②,1448
贫,1449
祖,1450
添,1451
奶,1452
膳,1453
菜,1454
悦,1455
呢,1456
里,1457
骤,1458
欠,1459
倾,1460
贴,1461
客,1462
颤,1463
哪,1464
涛,1465
镇,1466
错,1467
鱼,1468
战,1469
湖,1470
咪,1471
繁,1472
沈,1473
脾,1474
浊,1475
麦,1476
剪,1477
婚,1478
偶,1479
涤,1480
螺,1481
唾,1482
跖,1483
悸,1484
汤,1485
绍,1486
饥,1487
稍,1488
纹,1489
七,1490
薄,1491
叠,1492
呕,1493
遵,1494
琼,1495
檬,1496
柠,1497
肯,1498
场,1499
柱,1500
飞,1501
跃,1502
写,1503
婷,1504
鞘,1505
潴,1506
脆,1507
蔬,1508
迄,1509
话,1510
咽,1511
惠,1512
乡,1513
己,1514
惕,1515
旧,1516
唯,1517
慧,1518
博,1519
香,1520
秦,1521
窘,1522
鹿,1523
雯,1524
疮,1525
打,1526
送,1527
醋,1528
蒋,1529
花,1530
宇,1531
蜡,1532
倩,1533
剖,1534
豆,1535
银,1536
魏,1537
闻,1538
勒,1539
登,1540
举,1541
滨,1542
剥,1543
宣,1544
邓,1545
泼,1546
俊,1547
颜,1548
宏,1549
衍,1550
唐,1551
捷,1552
圆,1553
戒,1554
&,1555
季,1556
嘧,1557
簇,1558
弥,1559
巯,1560
让,1561
嗜,1562
千,1563
梯,1564
屏,1565
脯,1566
沫,1567
辣,1568
刊,1569
审,1570
歧,1571
③,1572
渡,1573
罹,1574
芽,1575
饿,1576
橼,1577
